Algorithm,Input_Condition,Input_Size,Execution_Time_ms,Memory_Usage_KB
Bubble Sort,Sorted,100,0.1025,0.8438
Bubble Sort,Sorted,500,0.0554,3.9688
Bubble Sort,Sorted,1000,0.0691,7.8125
Bubble Sort,Sorted,2000,0.1327,15.625
Bubble Sort,Random,100,0.3053,0.7812
Bubble Sort,Random,500,9.9882,3.9062
Bubble Sort,Random,1000,47.1561,7.8125
Bubble Sort,Random,2000,213.3437,15.625
Bubble Sort,Reverse-sorted,100,0.4503,0.7812
Bubble Sort,Reverse-sorted,500,19.5248,4.0
Bubble Sort,Reverse-sorted,1000,59.8857,7.8125
Bubble Sort,Reverse-sorted,2000,267.3137,15.625
Selection Sort,Sorted,100,0.1646,0.7812
Selection Sort,Sorted,500,8.5547,4.0
Selection Sort,Sorted,1000,23.1373,7.8125
Selection Sort,Sorted,2000,89.9231,15.625
Selection Sort,Random,100,0.1627,0.7812
Selection Sort,Random,500,5.772,3.9375
Selection Sort,Random,1000,22.6398,7.8125
Selection Sort,Random,2000,91.0453,15.625
Selection Sort,Reverse-sorted,100,0.1671,0.7812
Selection Sort,Reverse-sorted,500,9.0694,4.0
Selection Sort,Reverse-sorted,1000,23.3007,7.8125
Selection Sort,Reverse-sorted,2000,95.4896,15.625
Insertion Sort,Sorted,100,0.0121,0.7812
Insertion Sort,Sorted,500,0.0743,3.9688
Insertion Sort,Sorted,1000,0.1126,7.8125
Insertion Sort,Sorted,2000,0.2801,15.625
Insertion Sort,Random,100,0.1665,0.7812
Insertion Sort,Random,500,4.9632,3.9062
Insertion Sort,Random,1000,21.0263,7.8125
Insertion Sort,Random,2000,91.0197,15.625
Insertion Sort,Reverse-sorted,100,0.3337,0.7812
Insertion Sort,Reverse-sorted,500,11.361,3.9688
Insertion Sort,Reverse-sorted,1000,43.3794,7.8125
Insertion Sort,Reverse-sorted,2000,175.6346,15.625
Merge Sort,Sorted,100,0.328,2.0391
Merge Sort,Sorted,500,1.5007,9.7969
Merge Sort,Sorted,1000,3.0859,19.5312
Merge Sort,Sorted,2000,6.2471,39.0625
Merge Sort,Random,100,0.306,1.7812
Merge Sort,Random,500,1.714,8.2734
Merge Sort,Random,1000,4.006,16.7344
Merge Sort,Random,2000,7.5503,33.1328
Merge Sort,Reverse-sorted,100,0.2887,1.9844
Merge Sort,Reverse-sorted,500,1.4461,9.7969
Merge Sort,Reverse-sorted,1000,2.9507,19.5312
Merge Sort,Reverse-sorted,2000,6.3481,39.0625
Quick Sort,Sorted,100,0.1859,1.0234
Quick Sort,Sorted,500,0.3423,4.8359
Quick Sort,Sorted,1000,0.8923,8.9297
Quick Sort,Sorted,2000,2.0667,16.8359
Quick Sort,Random,100,0.0609,1.0234
Quick Sort,Random,500,0.5734,5.3984
Quick Sort,Random,1000,1.5721,9.7109
Quick Sort,Random,2000,3.6831,18.0234
Quick Sort,Reverse-sorted,100,0.0382,1.0234
Quick Sort,Reverse-sorted,500,0.3561,4.8359
Quick Sort,Reverse-sorted,1000,0.9113,8.9297
Quick Sort,Reverse-sorted,2000,2.1977,16.8359
